Customer Code,DaysPresent,Revenue
CAL0099,0,0
CAL0106,3821,5352875.83
CAL0109,0,0
CAL0112,3725,35788644.86
CAL0114,0,0
CAL0119,0,0
CAL0120,3170,3990897.06
CAL0121,3072,13586098.88
CAL0126,2966,21266.18
CAL0131,0,0
CAL0134,2829,78555.9
CAL0135,2690,4663812.98
CAL0136,0,0
CAL0139,2635,296768.4
CAL0148,0,0
CAL0152,0,0
CAL0153,0,0
CAL0156,2044,943487.13
CAL0158,1912,0
CAL0165,0,0
CAL0168,1175,1695010.43
CAL0183,1389,8648373.16
CAL0184,0,0
CAL0187,1226,1894570.06
CAL0190,0,0
CAL0191,0,0
CAL0192,0,0
CAL0196,869,791120.78
CAL0197,687,1346574.48
CAL0198,0,0
CAL0199,476,20600542.13
CAL0200,281,425702.75
CAL1049,0,0
CAL1050,0,0
CAL1053,1360,492166
CAL1054,1358,476993.5
CAL1055,0,0
CAL1056,0,0
CAL1058,0,0
CAL1059,896,1719044.38
CAL1060,0,0
CAL1061,0,0
CAL1062,0,0
CAL1063,841,312357.64
CAL1064,0,0
CAL1067,0,0
CAL1069,0,0
CAL1070,0,0
CAL1072,754,4565929.07
CAL1074,734,180499.18
CAL1076,710,3425.24
CAL1078,710,14916.16
CAL1079,0,0
CAL1082,710,7772.24
CAL1084,716,50536439.62
CAL1091,0,0
CAL1093,716,11788.92
CAL1094,0,0
CAL1096,709,2046166.66
CAL1101,653,591207.05
CAL1103,637,9686960.95
CAL1105,594,3793872.58
CAL1106,570,21551.78
CAL1107,561,171186.9
CAL1108,540,395981.45
CAL1111,0,0
CAL1112,520,2709580.64
CAL1113,514,1594260.86
CAL1114,0,0
CAL1115,0,0
CAL1116,0,0
CAL1117,440,1583010.58
CAL1118,0,0
CAL1119,336,377594.94
CAL1120,301,761077.41
CAL1121,280,2066569.64
CAL1122,0,0
CAL1123,236,2068622.88
CAL1124,224,1859660.81
CAL1126,218,359801.82
CAL1127,199,79.68
CAL1128,190,2530713.86
